"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Hydroxylbastnäsite-(Ce)","Hydroxylbastnasite-(Ce)","Ce(CO<sub>3</sub>)(OH)","Ce C O H","1964","Approved,Renamed","Bastnäsite","hexagonal","Ce^3+ C O H","Hbsn-Ce"
"Hydroxylbastnäsite-(La)","Hydroxylbastnasite-(La)","La(CO<sub>3</sub>)(OH)","La C O H","2021","Approved,Pending publication","Bastnäsite","hexagonal","La C O H","Hbsn-La"
"Hydroxylbastnäsite-(Nd)","Hydroxylbastnasite-(Nd)","Nd(CO<sub>3</sub>)(OH)","Nd C O H","1984","Approved,Renamed","Bastnäsite","hexagonal","Nd C O H","Hbsn-Nd"
"Hydroxylborite","Hydroxylborite","Mg<sub>3</sub>(BO<sub>3</sub>)(OH)<sub>3</sub>","Mg B O H","2005","Approved"," ","hexagonal","Mg B O H","Hyb"
"Hydroxylchondrodite","Hydroxylchondrodite","Mg<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Mg Si O H","2010","Approved","Humite","monoclinic","Mg Si O H","Hchn"
"Hydroxylclinohumite","Hydroxylclinohumite","Mg<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>","Mg Si O H","1998","Approved","Humite","monoclinic","Mg Si O H","Hchu"
"Hydroxyledgrewite","Hydroxyledgrewite","Ca<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>","Ca Si O H","2011","Approved","Humite","monoclinic","Ca Si O H","Hegr"
"Hydroxylellestadite","Hydroxylellestadite","Ca<sub>5</sub>(SiO<sub>4</sub>)<sub>1.5</sub>(SO<sub>4</sub>)<sub>1.5</sub>OH","Ca Si O S H","1937","Approved,Renamed","Apatite","hexagonal|monoclinic","Ca Si O S^6+ H","Hel"
"Hydroxylgugiaite","Hydroxylgugiaite","(Ca<sub>3</sub>◻)<sub>Σ4</sub>(Si<sub>3.5</sub>Be<sub>2.5</sub>)<sub>Σ6</sub>O<sub>11</sub>(OH)<sub>3</sub>","Ca Si Be O H","2016","Approved","Melilite","tetragonal","Ca Si Be O H","Hgug"
"Hydroxylhedyphane","Hydroxylhedyphane","Ca<sub>2</sub>Pb<sub>3</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)","Ca Pb As O H","2018","Approved","Apatite","hexagonal","Ca Pb^2+ As^5+ O H","Hhdy"
"Hydroxylherderite","Hydroxylherderite","CaBe(PO<sub>4</sub>)(OH)","Ca Be P O H","1894","Approved,Renamed","Gadolinite","monoclinic","Ca Be P O H","Hhd"
"Hydroxylpyromorphite","Hydroxylpyromorphite","Pb<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)","Pb P O H","2017","Approved","Apatite","hexagonal","Pb^2+ P O H","Hpm"
"Hydroxylwagnerite","Hydroxylwagnerite","Mg<sub>2</sub>(PO<sub>4</sub>)(OH)","Mg P O H","2004","Approved","Wagnerite","monoclinic","Mg P O H","Hwag"
"Hydroxymanganopyrochlore","Hydroxymanganopyrochlore","(Mn,Th,Na,Ca,REE)<sub>2</sub>(Nb,Ti)<sub>2</sub>O<sub>6</sub>(OH)","Mn Th Na Ca REE Nb Ti O H","2012","Approved","Pyrochlore-Pyrochlore","cubic","Mn^2+ Th^4+ Na Ca Ce^3+ Nb^5+ Ti^4+ O H","Hmpcl"
"Hydroxymcglassonite-(K)","Hydroxymcglassonite-(K)","KSr<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(OH)·8H<sub>2</sub>O","K Sr Si O H","2021","Approved","Apophyllite","tetragonal","K Sr Si O H","Hmg"
"Hydroxynatropyrochlore","Hydroxynatropyrochlore","(Na,Ca,Ce)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>(OH)","Na Ca Ce Nb O H","2017","Approved","Pyrochlore-Pyrochlore","cubic","Na Ca Ce^3+ Nb^5+ O H","Hnpcl"
"Hydroxyplumbopyrochlore","Hydroxyplumbopyrochlore","(Pb<sub>1.5</sub>◻<sub>0.5</sub>)Nb<sub>2</sub>O<sub>6</sub>(OH)","Pb Nb O H","2020","Approved","Pyrochlore-Pyrochlore","cubic","Pb^2+ Nb^5+ O H","Hppcl"
"Hydrozincite","Hydrozincite","Zn<sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>","Zn C O H","1853","Approved,Grandfathered"," ","monoclinic","Zn^2+ C O H","Hznc"
"Hylbrownite","Hylbrownite","Na<sub>3</sub>MgP<sub>3</sub>O<sub>10</sub>·12H<sub>2</sub>O","Na Mg P O H","2010","Approved","Kanonerovite","monoclinic","Na Mg P O H","Hbw"
"Hypercinnabar","Hypercinnabar","HgS","Hg S","1977","Approved"," ","hexagonal","Hg S","Hcin"
"Hyršlite","Hyrslite","Pb<sub>8</sub>As<sub>10</sub>Sb<sub>6</sub>S<sub>32</sub>","Pb As Sb S","2016","Approved","Sartorite","monoclinic","Pb^2+ As^3+ Sb^3+ S^2-","Hyr"
"Hyttsjöite","Hyttsjoite","Pb<sub>18</sub>Ba<sub>2</sub>Ca<sub>5</sub>Mn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>Si<sub>30</sub>O<sub>90</sub>Cl·6H<sub>2</sub>O","Pb Ba Ca Mn Fe Si O Cl H","1993","Approved"," ","hexagonal","Pb^2+ Ba Ca Mn^2+ Fe^3+ Si O Cl H","Hyj"
"Ianbruceite","Ianbruceite","Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)(H<sub>2</sub>O)·2H<sub>2</sub>O","Zn As O H","2011","Approved","Not in a structural group","monoclinic","Zn^2+ As^5+ O H","Ibc"
"Iangreyite","Iangreyite","Ca<sub>2</sub>Al<sub>7</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>(OH,F)<sub>15</sub>·8H<sub>2</sub>O","Ca Al P O H F","2009","Approved","Not in a structural group","hexagonal","Ca Al P O H F","Igy"
"Ianthinite","Ianthinite","U<sup>4+</sup><sub>2</sub>(UO<sub>2</sub>)<sub>4</sub>O<sub>6</sub>(OH)<sub>4</sub>·9H<sub>2</sub>O","U O H","1926","Approved,Grandfathered"," ","orthorhombic","U^4+ U^6+ O H","Ian"
"Ice","Ice","H<sub>2</sub>O","H O","0","Approved,Grandfathered","Amorphous, Tridymite","","H O","Ice"
"Ichnusaite","Ichnusaite","Th(MoO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O","Th Mo O H","2013","Approved","Not in a structural group","monoclinic","Th^4+ Mo^6+ O H","Ich"
"Icosahedrite","Icosahedrite","Al<sub>63</sub>Cu<sub>24</sub>Fe<sub>13</sub>","Al Cu Fe","2010","Approved","Not in a structural group","","Al Cu Fe","Ihd"
"Idaite","Idaite","Cu<sub>3</sub>FeS<sub>4</sub>","Cu Fe S","1958","Approved,Grandfathered","Sphalerite, Stannite","tetragonal|hexagonal","Cu Fe S^2-","Ida"
"Idrialite","Idrialite","C<sub>22</sub>H<sub>14</sub>","C H","1832","Approved,Grandfathered"," ","orthorhombic","C H","Id"
"Igelströmite","Igelstromite","Fe<sup>3+</sup>(SbPb)O<sub>4</sub>","Fe Sb Pb O","2021","Approved,Pending publication","Minium","tetragonal","Fe^3+ Sb^3+ Pb^2+ O","Ig"
"Iimoriite-(Y)","Iimoriite-(Y)","Y<sub>2</sub>(SiO<sub>4</sub>)(CO<sub>3</sub>)","Y Si O C","1967","Approved,Renamed"," ","triclinic","Y Si O C","Iim-Y"
"Ikaite","Ikaite","Ca(CO<sub>3</sub>)·6H<sub>2</sub>O","Ca C O H","1962","Approved"," ","monoclinic","Ca C O H","Ika"
"Ikranite","Ikranite","(Na,H<sub>3</sub>O)<sub>15</sub>(Ca,Mn,REE)<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>Zr<sub>3</sub>Si<sub>24</sub>O<sub>66</sub>(O,OH)<sub>6</sub>Cl·nH<sub>2</sub>O","Na H O Ca Mn REE Fe Zr Si Cl","2000","Approved","Eudialyte","hexagonal","Na H O Ca Mn^2+ Ce^3+ Fe^3+ Zr^4+ Si Cl","Ikr"
"Ikunolite","Ikunolite","Bi<sub>4</sub>S<sub>3</sub>","Bi S","1959","Approved","Tetradymite","hexagonal","Bi S","Ik"
"Ilesite","Ilesite","Mn<sup>2+</sup>(SO<sub>4</sub>)·4H<sub>2</sub>O","Mn S O H","1881","Approved,Grandfathered","Starkeyite","monoclinic","Mn^2+ S^6+ O H","Ile"
"Ilímaussite-(Ce)","Ilimaussite-(Ce)","(Ba,Na)<sub>10</sub>K<sub>3</sub>Na<sub>4.5</sub>Ce<sub>5</sub>(Nb,Ti)<sub>6</sub>O<sub>6</sub>(Si<sub>12</sub>O<sub>36</sub>)(Si<sub>9</sub>O<sub>18</sub>)(O,OH)<sub>24</sub>","Ba Na K Ce Nb Ti O Si H","1965","Approved,Renamed"," ","hexagonal","Ba Na K Ce^3+ Nb^5+ Ti^4+ O Si H","Ilí-Ce"
"Ilinskite","Ilinskite","NaCu<sub>5</sub>O<sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>Cl<sub>3</sub>","Na Cu O Se Cl","1996","Approved","Ilinskite","orthorhombic","Na Cu^2+ O Se^4+ Cl","Isk"
"Ilirneyite","Ilirneyite","Mg<sub>0.5</sub>[ZnMn<sup>3+</sup>(TeO<sub>3</sub>)<sub>3</sub>]·4.5H<sub>2</sub>O","Mg Zn Mn Te O H","2015","Approved","Zemannite","hexagonal","Mg Zn^2+ Mn^3+ Te^4+ O H","Iny"
"Illoqite-(Ce)","Illoqite-(Ce)","Na<sub>2</sub>NaBaCeZnSi<sub>6</sub>O<sub>17</sub>","Na Ba Ce Zn Si O","2021","Approved","Nordite","orthorhombic","Na Ba Ce^3+ Zn^2+ Si O","Ilo-Ce"
"Ilmenite","Ilmenite","Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>","Fe Ti O","1827","Approved,Grandfathered","Corundum","hexagonal","Fe^2+ Ti^4+ O","Ilm"
"Ilsemannite","Ilsemannite","Mo<sub>3</sub>O<sub>8</sub>·nH<sub>2</sub>O (?)","Mo O H","1871","Approved,Questionable mineral species"," ","unknown","Mo^4+ Mo^6+ O H","Ils"
"Iltisite","Iltisite","HgAgSCl","Hg Ag S Cl","1994","Approved"," ","hexagonal","Hg^2+ Ag^1+ S^2- Cl","Iti"
"Ilvaite","Ilvaite","CaFe<sup>3+</sup>Fe<sup>2+</sup><sub>2</sub>O(Si<sub>2</sub>O<sub>7</sub>)(OH)","Ca Fe O Si H","1811","Approved,Grandfathered","Ilvaite","monoclinic|orthorhombic","Ca Fe^2+ Fe^3+ O Si H","Ilv"
"Ilyukhinite","Ilyukhinite","(H<sub>3</sub>O,Na)<sub>14</sub>Ca<sub>6</sub>Mn<sub>2</sub>Zr<sub>3</sub>Si<sub>26</sub>O<sub>72</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O","H O Na Ca Mn Zr Si","2015","Approved","Eudialyte","hexagonal","H O Na Ca Mn^2+ Zr^4+ Si","Ily"
"Imandrite","Imandrite","Na<sub>12</sub>Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>Si<sub>12</sub>O<sub>36</sub>","Na Ca Fe Si O","1979","Approved","Lovozerite-Imandrite","orthorhombic","Na Ca Fe^3+ Si O","Ima"
"Imayoshiite","Imayoshiite","Ca<sub>3</sub>Al(CO<sub>3</sub>)[B(OH)<sub>4</sub>](OH)<sub>6</sub>·12H<sub>2</sub>O","Ca Al C O B H","2013","Approved","Ettringite","hexagonal","Ca Al C O B H","Iys"
"Imhofite","Imhofite","Tl<sub>5.8</sub>As<sub>15.4</sub>S<sub>26</sub>","Tl As S","1965","Approved"," ","monoclinic","Tl^1+ As^3+ S^2-","Imh"
"Imiterite","Imiterite","Ag<sub>2</sub>HgS<sub>2</sub>","Ag Hg S","1983","Approved,Renamed"," ","monoclinic","Ag Hg S","Imi"
"Imogolite","Imogolite","Al<sub>2</sub>SiO<sub>3</sub>(OH)<sub>4</sub>","Al Si O H","1962","Approved,Redefined","Allophane","","Al Si O H","Imo"
"Inaglyite","Inaglyite","PbCu<sub>3</sub>Ir<sub>8</sub>S<sub>16</sub>","Pb Cu Ir S","1983","Approved"," ","hexagonal","Pb^2+ Cu^2+ Ir^3+ S^2-","Ina"
"Incomsartorite","Incomsartorite","Tl<sub>6</sub>Pb<sub>144</sub>As<sub>246</sub>S<sub>516</sub>","Tl Pb As S","2016","Approved,Pending publication","Sartorite","monoclinic","Tl^1+ Pb^2+ As^3+ S^2-","Isat"
"Inderborite","Inderborite","CaMg[B<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>]<sub>2</sub>·6H<sub>2</sub>O","Ca Mg B O H","1941","Approved,Grandfathered"," ","monoclinic","Ca Mg B O H","Ibo"
"Inderite","Inderite","MgB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>·5H<sub>2</sub>O","Mg B O H","1937","Approved"," ","monoclinic","Mg B O H","Idr"
"Indialite","Indialite","Mg<sub>2</sub>Al<sub>3</sub>(AlSi<sub>5</sub>)O<sub>18</sub>","Mg Al Si O","1954","Approved,Grandfathered","Beryl","hexagonal","Mg Al Si O","Ind"
"Indigirite","Indigirite","Mg<sub>2</sub>Al<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·15H<sub>2</sub>O","Mg Al C O H","1971","Approved","Artinite","","Mg Al C O H","Idg"
"Indite","Indite","FeIn<sub>2</sub>S<sub>4</sub>","Fe In S","1963","Approved","Spinel","cubic","Fe^2+ In^3+ S^2-","Idt"
"Indium","Indium","In","In","1964","Approved"," ","tetragonal","In","In"
"Inesite","Inesite","Ca<sub>2</sub>Mn<sup>2+</sup><sub>7</sub>Si<sub>10</sub>O<sub>28</sub>(OH)<sub>2</sub>·5H<sub>2</sub>O","Ca Mn Si O H","1887","Approved,Grandfathered"," ","triclinic","Ca Mn^2+ Si O H","Ins"
"Ingersonite","Ingersonite","Ca<sub>3</sub>Mn<sup>2+</sup>Sb<sup>5+</sup><sub>4</sub>O<sub>14</sub>","Ca Mn Sb O","1986","Approved"," ","hexagonal","Ca Mn^2+ Sb^5+ O","Igs"
"Ingodite","Ingodite","Bi<sub>2</sub>TeS","Bi Te S","1980","Approved","Tetradymite","hexagonal","Bi Te S","Ing"
"Innelite","Innelite","Ba<sub>4</sub>Ti<sub>2</sub>Na(NaMn<sup>2+</sup>)Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>[(SO<sub>4</sub>)(PO<sub>4</sub>)]O<sub>2</sub>[O(OH)]","Ba Ti Na Mn Si O S P H","1961","Approved,Redefined","Seidozerite-Lamprophyllite","triclinic|monoclinic","Ba Ti^4+ Na Mn^2+ Si O S^6+ P H","Inn"
"Innsbruckite","Innsbruckite","Mn<sub>33</sub>(Si<sub>2</sub>O<sub>5</sub>)<sub>14</sub>(OH)<sub>38</sub>","Mn Si O H","2013","Approved","Not in a structural group","monoclinic","Mn^2+ Si O H","Ibk"
"Insizwaite","Insizwaite","PtBi<sub>2</sub>","Pt Bi","1971","Approved","Pyrite","cubic","Pt Bi","Isw"
"Intersilite","Intersilite","Na<sub>6</sub>Mn(Ti,Nb)Si<sub>10</sub>(O,OH)<sub>28</sub>·4H<sub>2</sub>O","Na Mn Ti Nb Si O H","1995","Approved"," ","monoclinic","Na Mn^2+ Ti^4+ Nb^5+ Si O H","Isi"
"Inyoite","Inyoite","CaB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>·4H<sub>2</sub>O","Ca B O H","1914","Approved,Grandfathered"," ","monoclinic","Ca B O H","Iyo"
"Iodargyrite","Iodargyrite","AgI","Ag I","1962","Approved","Wurtzite","hexagonal","Ag^1+ I^1-","Iag"
"Iowaite","Iowaite","Mg<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>(OH)<sub>16</sub>Cl<sub>2</sub>·4H<sub>2</sub>O","Mg Fe O H Cl","1967","Approved","Hydrotalcite","hexagonal","Mg Fe^3+ O H Cl","Iow"
"Iquiqueite","Iquiqueite","K<sub>3</sub>Na<sub>4</sub>Mg(CrO<sub>4</sub>)B<sub>24</sub>O<sub>39</sub>(OH)·12H<sub>2</sub>O","K Na Mg Cr O B H","1984","Approved"," ","hexagonal","K Na Mg Cr^6+ O B H","Iqu"
"Iranite","Iranite","CuPb<sub>10</sub>(CrO<sub>4</sub>)<sub>6</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Cu Pb Cr O Si H","1963","Approved","Iranite","triclinic","Pb^2+ Cu^2+ Cr^6+ O Si H","Irn"
"Iraqite-(La)","Iraqite-(La)","KCa<sub>2</sub>(La,Ce,Th)Si<sub>8</sub>O<sub>20</sub>","K Ca La Ce Th Si O","1973","Approved","Steacyite","","K Ca La Ce^3+ Th^4+ Si O","Irq-La"
"Irarsite","Irarsite","IrAsS","Ir As S","1966","Approved","Pyrite","cubic","Ir^3+ As S","Irs"
"Irhtemite","Irhtemite","Ca<sub>4</sub>Mg(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O","Ca Mg As O H","1971","Approved"," ","monoclinic","Ca Mg As^5+ O H","Irh"
"Iridarsenite","Iridarsenite","IrAs<sub>2</sub>","Ir As","1973","Approved"," ","monoclinic","Ir As","Ird"
"Iridium","Iridium","Ir","Ir","1804","Approved,Redefined","Copper","cubic","Ir","Ir"
"Iriginite","Iriginite","(UO<sub>2</sub>)Mo<sup>6+</sup><sub>2</sub>O<sub>7</sub>·3H<sub>2</sub>O","U O Mo H","1957","Approved,Grandfathered"," ","orthorhombic","U^6+ O Mo^6+ H","Irg"
"Irinarassite","Irinarassite","Ca<sub>3</sub>Sn<sub>2</sub>(SiAl<sub>2</sub>)O<sub>12</sub>","Ca Sn Si Al O","2010","Approved","Garnet","cubic","Ca Sn^4+ Al Si O","Inr"
"Iron","Iron","Fe","Fe","0","Approved,Grandfathered","Iron","cubic","Fe","Fe"
"Irtyshite","Irtyshite","Na<sub>2</sub>Ta<sub>4</sub>O<sub>11</sub>","Na Ta O","1984","Approved"," ","hexagonal","Na Ta^5+ O","Irt"
"Iseite","Iseite","Mn<sub>2</sub>Mo<sub>3</sub>O<sub>8</sub>","Mn Mo O","2012","Approved","Nolanite","hexagonal","Mn^2+ Mo^4+ O","Is"
"Ishiharaite","Ishiharaite","(Cu,Ga,Fe,In,Zn)S","Cu Ga Fe In Zn S","2013","Approved","Sphalerite","cubic","Cu^1+ Ga^3+ Fe^3+ In^3+ Zn^2+ S^2-","Ish"
"Ishikawaite","Ishikawaite","(U,Fe,Y)NbO<sub>4</sub>","U Fe Y Nb O","1922","Approved,Grandfathered,Questionable mineral species","Columbite","unknown|monoclinic","U^4+ Fe^2+ Y Nb^5+ O","Ikw"
"Iskandarovite","Iskandarovite","Sb<sub>6</sub>O<sub>7</sub>(SO<sub>4</sub>)<sub>2</sub>","Sb O S","2022","Approved,Pending publication","Not in a structural group","orthorhombic","Sb^3+ O S^6+","Iska"
"Isoclasite","Isoclasite","Ca<sub>2</sub>(PO<sub>4</sub>)(OH)·2H<sub>2</sub>O","Ca P O H","1870","Approved,Questionable mineral species"," ","","Ca P O H","Icl"
"Isocubanite","Isocubanite","CuFe<sub>2</sub>S<sub>3</sub>","Cu Fe S","1983","Approved","Cubanite, Sphalerite","cubic","Cu^1+ Fe^2+ Fe^3+ S^2-","Icb"
"Isoferroplatinum","Isoferroplatinum","Pt<sub>3</sub>Fe","Pt Fe","1974","Approved","Perovskite, Auricupride","cubic","Pt Fe","Ifpt"
"Isokite","Isokite","CaMg(PO<sub>4</sub>)F","Ca Mg P O F","1955","Approved,Grandfathered","Titanite","monoclinic","Ca Mg P O F","Iso"
"Isolueshite","Isolueshite","NaNbO<sub>3</sub>","Na Nb O","1995","Approved","Perovskite","orthorhombic|cubic","Na Nb^5+ O","Isl"
"Isomertieite","Isomertieite","Pd<sub>11</sub>Sb<sub>2</sub>As<sub>2</sub>","Pd Sb As","1973","Approved","Isomertieite","cubic","Pd Sb As","Ism"
"Isovite","Isovite","(Cr,Fe)<sub>23</sub>C<sub>6</sub>","Cr Fe C","1996","Approved","Haxonite","cubic","Cr Fe C","Isv"
"Isselite","Isselite","Cu<sub>6</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>(H<sub>2</sub>O)<sub>4</sub>·H<sub>2</sub>O","Cu S O H","2019","Approved","Guarinoite","orthorhombic","Cu^2+ S^6+ O H","Iss"
"Itelmenite","Itelmenite","Na<sub>2</sub>CuMg<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>","Na Cu Mg S O","2015","Approved","Itelmenite","orthorhombic","Na Cu^2+ Mg S^6+ O","Itm"
"Itoigawaite","Itoigawaite","SrAl<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>·H<sub>2</sub>O","Sr Al Si O H","1998","Approved","Lawsonite","monoclinic","Sr Al Si O H","Ito"
"Itoite","Itoite","Pb<sub>3</sub>GeO<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pb Ge O S H","1960","Approved"," ","orthorhombic","Pb^2+ Ge O S^6+ H","It"
"Itsiite","Itsiite","Ba<sub>2</sub>Ca(BSi<sub>2</sub>O<sub>7</sub>)<sub>2</sub>","Ba Ca B Si O","2013","Approved","Hyalotekite","tetragonal","Ba Ca B Si O","Its"
"Ivanyukite-Cu","Ivanyukite-Cu","Cu[Ti<sub>4</sub>O<sub>2</sub>(OH)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>]·7H<sub>2</sub>O","Cu Ti O H Si","2007","Approved","Pharmacosiderite","cubic","Cu^2+ Ti^4+ Si O H","Iv-Cu"
"Ivanyukite-K","Ivanyukite-K","K<sub>2</sub>[Ti<sub>4</sub>O<sub>2</sub>(OH)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>]·9H<sub>2</sub>O","K Ti O H Si","2007","Approved","Pharmacosiderite","cubic","K Ti^4+ Si O H","Iv-K"
"Ivanyukite-Na","Ivanyukite-Na","Na<sub>2</sub>[Ti<sub>4</sub>O<sub>2</sub>(OH)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>]·6H<sub>2</sub>O","Na Ti O H Si","2007","Approved","Pharmacosiderite","hexagonal|cubic","Na Ti^4+ Si O H","Iv-Na"
"Ivsite","Ivsite","Na<sub>3</sub>H(SO<sub>4</sub>)<sub>2</sub>","Na H S O","2013","Approved"," ","monoclinic","Na H S^6+ O","Ivs"
"Iwashiroite-(Y)","Iwashiroite-(Y)","YTaO<sub>4</sub>","Y Ta O","2003","Approved","Not in a structural group","monoclinic","Y Ta^5+ O","Iwa-Y"
"Iwateite","Iwateite","Na<sub>2</sub>BaMn(PO<sub>4</sub>)<sub>2</sub>","Na Ba Mn P O","2013","Approved","Aphthitalite","hexagonal","Na Ba Mn^2+ P O","Iw"
"Ixiolite-(Mn<sup>2+</sup>)","Ixiolite-(Mn2+)","(Ta<sub>2/3</sub>Mn<sup>2+</sup><sub>1/3</sub>)O<sub>2</sub>","Ta Mn O","1857","Approved,Redefined","Columbite","orthorhombic","Ta^5+ Mn^2+ O","Ix-Mn"
"Iyoite","Iyoite","MnCuCl(OH)<sub>3</sub>","Mn Cu Cl O H","2013","Approved","Atacamite","monoclinic","Mn^2+ Cu^2+ Cl O H","Iy"
"Izoklakeite","Izoklakeite","Pb<sub>26.4</sub>(Cu,Fe)<sub>2</sub>(Sb,Bi)<sub>19.6</sub>S<sub>57</sub>","Pb Cu Fe Sb Bi S","1983","Approved","Kobellite","orthorhombic","Pb^2+ Cu^1+ Fe^2+ Sb^3+ Bi^3+ S^2-","Iz"
"Jáchymovite","Jachymovite","(UO<sub>2</sub>)<sub>8</sub>(SO<sub>4</sub>)(OH)<sub>14</sub>·13H<sub>2</sub>O","U O S H","1994","Approved"," ","monoclinic","U^6+ O S^6+ H","Jác"
"Jacobsite","Jacobsite","Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>","Mn Fe O","1869","Approved","Spinel","cubic","Mn^2+ Fe^3+ O","Jcb"
"Jacquesdietrichite","Jacquesdietrichite","Cu<sub>2</sub>BO(OH)<sub>5</sub>","Cu B O H","2003","Approved"," ","orthorhombic","Cu^2+ B O H","Jdt"
"Jacutingaite","Jacutingaite","Pt<sub>2</sub>HgSe<sub>3</sub>","Pt Hg Se","2010","Approved","Jacutingaite","hexagonal","Pt Hg Se","Jac"
"Jadarite","Jadarite","LiNaB<sub>3</sub>SiO<sub>7</sub>(OH)","Li Na B Si O H","2006","Approved"," ","monoclinic","Li Na B Si O H","Jad"
"Jadeite","Jadeite","NaAlSi<sub>2</sub>O<sub>6</sub>","Na Al Si O","1863","Approved","Pyroxene","monoclinic","Na Al Si O","Jd"
"Jaffeite","Jaffeite","Ca<sub>6</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>6</sub>","Ca Si O H","1987","Approved"," ","hexagonal","Ca Si O H","Jaf"
"Jagoite","Jagoite","Pb<sub>18</sub>Fe<sup>3+</sup><sub>4</sub>[Si<sub>4</sub>(Si,Fe<sup>3+</sup>)<sub>6</sub>][Pb<sub>4</sub>Si<sub>16</sub>(Si,Fe)<sub>4</sub>]O<sub>82</sub>Cl<sub>6</sub>","Pb Fe Si O Cl","1957","Approved,Grandfathered"," ","hexagonal","Pb^2+ Fe^3+ Si O Cl","Jg"
"Jagowerite","Jagowerite","BaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Ba Al P O H","1973","Approved"," ","triclinic","Ba Al P O H","Jgw"
"Jagüéite","Jagueite","Cu<sub>2</sub>Pd<sub>3</sub>Se<sub>4</sub>","Cu Pd Se","2002","Approved,Renamed","Chrisstanleyite","monoclinic","Cu^1+ Pd^2+ Se^2-","Jag"
"Jahnsite-(CaFeMg)","Jahnsite-(CaFeMg)","CaFe<sup>2+</sup>Mg<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Ca Fe Mg P O H","2013","Approved","Jahnsite","monoclinic","Ca Fe^2+ Mg Fe^3+ P O H","Jah-CaFeMg"
"Jahnsite-(CaMnFe)","Jahnsite-(CaMnFe)","CaMn<sup>2+</sup>Fe<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Ca Mn Fe P O H","1978","Approved,Redefined","Jahnsite","monoclinic","Ca Mn^2+ Fe^2+ Fe^3+ P O H","Jah-CaMnFe"
"Jahnsite-(CaMnMg)","Jahnsite-(CaMnMg)","CaMn<sup>2+</sup>Mg<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Ca Mn Mg Fe P O H","1973","Approved,Redefined","Jahnsite","monoclinic","Ca Mn^2+ Mg Fe^3+ P O H","Jah-CaMnMg"
"Jahnsite-(CaMnMn)","Jahnsite-(CaMnMn)","CaMn<sup>2+</sup>Mn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Ca Mn Fe P O H","1987","Approved","Jahnsite","monoclinic","Ca Mn^2+ Fe^3+ P O H","Jah-CaMnMn"
