"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Carducciite","Carducciite","(AgSb)Pb<sub>6</sub>(As,Sb)<sub>8</sub>S<sub>20</sub>","Ag Sb Pb As S","2013","Approved"," ","monoclinic","Ag^1+ Sb^3+ Pb^2+ As^3+ S^2-","Cdu"
"Caresite","Caresite","Fe<sup>2+</sup><sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O","Fe Al O H C","1992","Approved","Hydrotalcite","hexagonal","Fe^2+ Al O H C","Cre"
"Carletonite","Carletonite","KNa<sub>4</sub>Ca<sub>4</sub>Si<sub>8</sub>O<sub>18</sub>(CO<sub>3</sub>)<sub>4</sub>(F,OH)·H<sub>2</sub>O","K Na Ca Si O C F H","1969","Approved","Carletonite","tetragonal","K Na Ca Si O C F H","Cto"
"Carletonmooreite","Carletonmooreite","Ni<sub>3</sub>Si","Ni Si","2018","Approved"," ","cubic","Ni Si","Cmo"
"Carlfrancisite","Carlfrancisite","Mn<sup>2+</sup><sub>3</sub>(Mn<sup>2+</sup>,Mg,Fe<sup>3+</sup>,Al)<sub>42</sub>(As<sup>3+</sup>O<sub>3</sub>)<sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>4</sub>[(Si,As<sup>5+</sup>)O<sub>4</sub>]<sub>6</sub>[(As<sup>5+</sup>,Si)O<sub>4</sub>]<sub>2</sub>(OH)<sub>42</sub>","Mn Mg Fe Al As O Si H","2012","Approved","Hematolite","hexagonal","Mn^2+ Mg Fe^3+ Al As^3+ O As^5+ Si H","Cfc"
"Carlfriesite","Carlfriesite","CaTe<sup>4+</sup><sub>2</sub>Te<sup>6+</sup>O<sub>8</sub>","Ca Te O","1973","Approved"," ","monoclinic","Ca Te^4+ Te^6+ O","Clf"
"Carlgieseckeite-(Nd)","Carlgieseckeite-(Nd)","NaNdCa<sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>F","Na Nd Ca P O F","2010","Approved","Apatite","hexagonal","Na Nd Ca P O F","Csk-Nd"
"Carlhintzeite","Carlhintzeite","Ca<sub>2</sub>AlF<sub>7</sub>·H<sub>2</sub>O","Ca Al F H O","1978","Approved"," ","triclinic","Ca Al F H O","Chz"
"Carlinite","Carlinite","Tl<sub>2</sub>S","Tl S","1974","Approved"," ","hexagonal","Tl^1+ S^2-","Cni"
"Carlosbarbosaite","Carlosbarbosaite","(UO<sub>2</sub>)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O","U O Nb H","2010","Approved"," ","orthorhombic","U^6+ O Nb^5+ H","Cbb"
